CFS-SFS,weka.attributeSelection.BestFirst,-D 1,weka.attributeSelection.CfsSubsetEval,
CFS-SBS,weka.attributeSelection.BestFirst,-D 0,weka.attributeSelection.CfsSubsetEval,
CFS-BiS,weka.attributeSelection.BestFirst,-D 2,weka.attributeSelection.CfsSubsetEval,
CFS-GS,weka.attributeSelection.GeneticSearch,,weka.attributeSelection.CfsSubsetEval,
CFS-LS,weka.attributeSelection.LinearForwardSelection,,weka.attributeSelection.CfsSubsetEval,
CFS-RS,weka.attributeSelection.RankSearch,,weka.attributeSelection.CfsSubsetEval,
CFS-SS,weka.attributeSelection.ScatterSearchV1,,weka.attributeSelection.CfsSubsetEval,
CFS-SWS,weka.attributeSelection.GreedyStepwise,,weka.attributeSelection.CfsSubsetEval,
CFS-TS,weka.attributeSelection.TabuSearch,,weka.attributeSelection.CfsSubsetEval,
INTERACT-D,weka.attributeSelection.INTERACT,,weka.attributeSelection.CfsSubsetEval,
Cons-SFS,weka.attributeSelection.BestFirst,-D 1,weka.attributeSelection.ConsistencySubsetEval,
Cons-SBS,weka.attributeSelection.BestFirst,-D 0,weka.attributeSelection.ConsistencySubsetEval,
Cons-BiS,weka.attributeSelection.BestFirst,-D 2,weka.attributeSelection.ConsistencySubsetEval,
Cons-GS,weka.attributeSelection.GeneticSearch,,weka.attributeSelection.ConsistencySubsetEval,
Cons-LS,weka.attributeSelection.LinearForwardSelection,,weka.attributeSelection.ConsistencySubsetEval,
Cons-RS,weka.attributeSelection.RankSearch,,weka.attributeSelection.ConsistencySubsetEval,
Cons-SS,weka.attributeSelection.ScatterSearchV1,,weka.attributeSelection.ConsistencySubsetEval,
Cons-SWS,weka.attributeSelection.GreedyStepwise,,weka.attributeSelection.ConsistencySubsetEval,
INTERACT-C,weka.attributeSelection.INTERACT,,weka.attributeSelection.ConsistencySubsetEval,
FCBF,weka.attributeSelection.FCBFSearch,,weka.attributeSelection.SymmetricalUncertAttributeSetEval,
Relief-F,weka.attributeSelection.Ranker,,weka.attributeSelection.ReliefFAttributeEval,
Signific,weka.attributeSelection.Ranker,,weka.attributeSelection.SignificanceAttributeEval,
